tweet_id,date,time,user_location,text,latitude,longitude,crime_type,severity_score
1957768565295313111,2025-08-19,11:36:14,"New Delhi, India","'POCSO Act is gender neutral'; Karnataka High Court refuses to quash sexual assault case against Woman

#KarnatakaHighCourt #DelayinFIR #Genderneutrality #POCSOAct #ProtectionofChildrenfromSexualOffences #Section4POCSOAct #Section6POCSOAct #SexualAssaultonminorboy #scconline",,,assault,0.0
1957768024506736703,2025-08-19,11:34:05,Pune,"A woman argued she couldn't be prosecuted under the POCSO Act for the 'penetrative sexual assault' of a minor boy, citing the law's use of the pronoun """"he"""".

The Karnataka High Court firmly rejected this for the following reasons:
▪️ POCSO is gender-neutral, intended to protect https://t.co/OHrQB8aoBW",,,assault,0.02
1957748462201762181,2025-08-19,10:16:21,,"@likith25 @RahulGandhi @grok N yes on the basis of CSDS data only rahul gandhi started his cry about vote chori, but failed to accept that in karnataka it was only congress who supported vote theft",,,theft,0.0
1957738185057849396,2025-08-19,09:35:30,,"Indian police have exhumed human remains in a temple town in Karnataka, officials said, as part of an investigation into allegations that hundreds of murder and rape victims were secretly buried there from around the mid-1990s. (dawn)
#India #rape",,,rape,0.0
1957735081398923503,2025-08-19,09:23:11,wherever you are,"@MhulRjput1 Allegations of """"vote chori"""" (vote theft) against BJP stem from opposition claims of rigging in 2024 Indian elections, citing voter list manipulations in areas like Karnataka and Maharashtra. BJP and the Election Commission deny this, calling it baseless and demanding proof.",,,theft,0.0
1957731140938215706,2025-08-19,09:07:31,,"@nidhisharmahu Those videos got crores of views in Karnataka as  emotional fool Hindus believed that jihadi not CBI or high court. then they made another video by bringing mask-man saying he buried 1000+ bodies of rape victims in Dharmasthala then state government formed SIT ,",,,rape,0.06
1957729794293973216,2025-08-19,09:02:10,Chennai,"Charges of penetrative sexual assault are equally applicable to a woman when she induces a boy to penetrate her, the Karnataka High Court interpreted, rejecting a petition filed by a 53-year-old artist, questioning the legality of the crime registered against her. 

The crime was https://t.co/6DAsZ5LwqS",,,assault,0.02
1957722729584693297,2025-08-19,08:34:06,Karnataka,"Dharmasthala siblings’ murder case: family seeks fresh sit probe

#DharmasthalaMurder #JusticeForNarayana #LandDisputeKillings #SITProbe

https://t.co/LOauVyXAHb https://t.co/ZIMDKWdaG6",,,murder,0.0
1957719374397337613,2025-08-19,08:20:46,"Mumbai, India","A 48-year-old woman, a neighbor and art teacher to a 13-year-old boy, was accused of sexually assaulting him in 2020, leading to a police complaint filed four years later after the boy confessed to his mother

@ISalilTiwari reports

Read more: https://t.co/YQZUhZo1KB https://t.co/WhJF0u2qcF",,,assault,0.08
1957708759100195189,2025-08-19,07:38:35,India,"The Karnataka High Court on Aug 18 held that POCSO Act is gender neutral and a woman can be made accused.

The Court added that the ingredients of Section 4 POCSO on penetrative sexual assault apply equally to men and women as the provision is clearly inclusive.

Read more: https://t.co/aGabJHdSBQ",,,assault,0.24
1957707403195285804,2025-08-19,07:33:12,Bengaluru,"Declaring that the offence of penetrative sexual assault can be alleged even against a woman under POCSO Act, #KarnatakaHC refused to quash a criminal case against a 52-year-old woman, who allegedly compelled a 13-year-old boy for sex in 2020.
https://t.co/J93Wv7O5nO",,,assault,0.08
1957706243323130356,2025-08-19,07:28:35,Bengaluru Karnataka,"Karnataka High Court Upholds Gender Neutrality of POCSO Act, Refuses to Quash Sexual Assault Case Against Woman

Click to Read Complete News
https://t.co/idANrmpmmu 

Download App
https://t.co/OeyL6UPdIp",,,assault,0.0
1957705789092819107,2025-08-19,07:26:47,,"➡️Rewind - """"Sule Slams Karnataka MLA's Rape Remarks, Links to Hijab Debate""""
#supriyasule #mp #ncp #sharadpawar #loksabha #maharashtra #baramati #rape #womensafety #ncrb https://t.co/pGGAsiqkpp",,,rape,0.02
1957693964393541681,2025-08-19,06:39:47,wherever you are,"@VashisthShubh @ssaratht The video appears to show a violent attack in a corridor. After searching, it closely matches CCTV from the June 2, 2025, murder of Channappa Narinal in a Koppal, Karnataka bakery over a property dispute. Seven suspects were arrested; no communal angle reported in sources like",,,murder,0.02
1957680529001824282,2025-08-19,05:46:24,,"""""POCSO Act Is Gender Neutral"""", Says Karnataka High Court; Refuses To Quash FIR Against Woman In Sexual Assault Case On Minor Boy 

#KarnatakaHighCourt #POCSO 

 https://t.co/RoL2JrpKOO",,,assault,0.1
1957680219999072270,2025-08-19,05:45:11,New Delhi,"Belagavi, Karnataka: Three accused have been arrested for the murder of 22-year-old Muttanna Gudabali in Huddali village. The youth was attacked by Mahesh Nari, Vishal Nari and Siddappa Muttannavar after an argument for shouting in front of their house. Severely injured, he later https://t.co/pPKoDZo8BM",,,murder,0.02
1957676936853148128,2025-08-19,05:32:08,Hindu Rashtra Bharat,"2️⃣ Mahadevapura = BJP Lead = Fraud?  
Rahul blames Mahadevapura for Congress’s loss in Bengaluru Central. But BJP has won Mahadevapura consistently. By that logic, did Congress “steal” Dhule via Malegaon? Electoral trends ≠ electoral theft.",,,theft,0.04
1957673850457788661,2025-08-19,05:19:52,,"ECI on the Backfoot
by Hiren Gohain

https://t.co/1A9xdIiV27

Recent press conference of ECI after Rahul Gandhi’s exposure of large-scale vote theft and voter fraud in Karnataka and apprehension of yet another scam in Bihar SIR raised eyebrows and provoked derision among",,,theft,0.0
1957670284879634924,2025-08-19,05:05:42,Lucknow,"Karnataka High Court Upholds Gender Neutrality of POCSO Act, Refuses to Quash Sexual Assault Case Against Woman https://t.co/sivGAlDyAg",,,assault,0.0
1957657587790541203,2025-08-19,04:15:15,,"This is shocking, 54% of children reporting sexual assault are boys while 45% are girls. Gender justice is a necessity, thanks to the honorable High court of Karnataka. https://t.co/3aR5QZ96ji",,,assault,0.0
1957657499215294718,2025-08-19,04:14:53,India ,"while the family of the deceased has accused Karnataka police of murder.

Bhole Kori's wife Premvati said that my husband lived in Karnataka for 25 years. Initially he went there to work as a labourer. After this he started doing contracting work. He started earning decent money. https://t.co/gPYGHhdcWi",,,murder,0.0
